site_no,cluster,latitude,longitude,lp3_scale,lp3_skew
01011000,2,47.0697222,-69.0794444,0.15931024044869177,-0.10766741387402354
01013500,2,47.2375,-68.58277778,0.13716960310284632,-0.3414864274221581
01015800,2,46.52305556,-68.3716667,0.15306860533591196,-0.648434772405389
01017000,2,46.7772222,-68.1572222,0.1460142421895247,-0.4485371318379706
01017290,2,46.8886111,-67.945,0.13604262090584815,0.18366255618211
01017550,2,46.62805556,-67.9530556,0.1852859564065876,0.2793580303152781
01017960,2,46.105,-67.88138889,0.14155663294278698,0.7129050436952974
01018009,2,46.11527778,-67.84027778,0.2049378476552403,0.1285332439206113
01021480,2,44.9369444,-67.7361111,0.17016711427120948,0.767863143000129
01029200,2,46.14305556,-68.6336111,0.13098875886727837,0.7594919443119023
01030500,2,45.5011111,-68.3058333,0.13059345582349957,-0.08209831039041272
01031300,2,45.2672222,-69.58388889,0.19817704189134605,-0.15230245315438945
01031450,2,45.1844444,-69.4522222,0.23583716236822447,-0.2214324755413847
01031500,2,45.175,-69.3147222,0.20780841219965132,-0.037767128213213
01034000,2,45.26055556,-68.8686111,0.19368809683306065,0.05828183975478599
01038000,2,44.22277778,-69.59388889,0.1878646213884228,0.6146695165225879
01047000,2,44.86916667,-69.955,0.22312578827750135,-0.13740196666456878
01047200,2,44.85777778,-70.48527778,0.2988424697703522,0.700635831281323
01048000,2,44.70805556,-69.9375,0.2130253904902891,-0.18119684369941175
01054300,2,44.5933333,-70.7330556,0.20087031165778577,0.1814816858701471
01055000,2,44.64277778,-70.58888889,0.24826182837173794,-0.2746673129191728
01060000,2,43.79915,-70.1782694,0.20995536342415352,0.12390078548394183
01064500,2,43.9908333,-71.0905556,0.22615095112952333,-0.1457694900370472
01066000,2,43.80805556,-70.7816667,0.170052066624793,0.034670460690335664
01075000,2,43.9761792,-71.6795244,0.24103611970011546,0.09789976101738458
01076000,2,43.79562647,-71.8453594,0.24980292124685236,0.5733910312327598
01076500,2,43.7592388,-71.6856337,0.17447513793908262,0.09871542156219426
01077400,2,43.70388889,-71.8333333,0.29093575730995963,0.9541380057062547
01078000,2,43.56646307,-71.747857,0.1909505471347553,0.4576813335976098
01082000,2,42.8625837,-71.95924609,0.18409788523361095,0.1602982668239971
